n;timeCHO;errorCHO;timeMKL;errorMKL
1000;0.81960000000000010623;-0.00000000000333955086;0.05000000000000000278;-0.00000000000069633188
2000;12.59239999999999959357;-0.00000000000027267077;0.20339999999999996971;-0.00000000000684630130
3000;57.99119999999999919282;-0.00000000000504485342;0.74799999999999999822;0.00000000000293454150
4000;170.55819999999999936335;-0.00000000000657962573;1.27859999999999995879;0.00000000000332534000
5000;366.22720000000003892637;0.00000000000972022463;2.43599999999999994316;-0.00000000000034106051
6000;756.47199999999997999112;-0.00000000002528111054;4.55780000000000029559;-0.00000000003305444807
7000;1620.39960000000019135769;-0.00000000001577404873;7.95120000000000004547;-0.00000000000931521527
8000;2557.52100000000018553692;0.00000000001699618224;9.59539999999999970726;-0.00000000002765432328
9000;2565.06740000000036161509;-0.00000000002731326276;14.15080000000000026716;-0.00000000000344613227
10000;3586.41679999999996653059;-0.00000000004517630714;19.05180000000000006821;-0.00000000000600408612
